area,construction_time,floor,intro,price,title,zoning
89m²,2015年建造,低层(共30层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",85,正商智慧城 业主包税 双气小三房 紧邻紫荆山南路 业主急卖,3室2厅
95m²,2022年建造,低层(共30层),"
                    豫发白鹭源春晓  
                    航空港-航空港区-太湖路,近长安路",78,地铁口200米  户型朝南  准现房  先到先得 价格可谈,3室2厅
90m²,2000年建造,低层(共26层),"
                    观澜郡  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",78,观澜郡 3室2厅1卫 90.0平米 78.00万元,3室2厅
115m²,2019年建造,低层(共26层),"
                    金科集美公馆  
                    荥阳-荥阳城区-荥泽大道",80,往西十.份钟，省一辆宝马，支持各种公积金组合贷欢迎咨询,3室2厅
113m²,2019年建造,低层(共26层),"
                    瀚宇天悦湾  
                    荥阳-荥阳城区-郑上路,近万山路",70,郑西双地铁 距离西三环15公里 开车二十分种 价位六七千,3室2厅
95m²,2018年建造,低层(共28层),"
                    新城郡望府  
                    荥阳-荥阳城区-织机路,近郑上路",72,新城郡望府 南北通透三房 吾悦广场旁 地铁 公园旁 7XXX,3室2厅
110m²,2019年建造,低层(共26层),"
                    融侨城  
                    新郑-新郑龙湖-阳光大道40号",92,融侨美域 5000订房 三年六次  近地铁 配套设施成熟,3室2厅
104m²,2015年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,刚需真。实房源 大开发商 康桥溪棠 环境优美 人车分流有钥匙,3室2厅
129m²,2016年建造,低层(共27层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",105,正商瑞钻，129平大三房，105万业主包税，单价仅8100,3室2厅
97m²,2015年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",90,3室2厅 90万  一楼带60平露台40平绿化 业主急售,3室2厅
120m²,2018年建造,低层(共33层),"
                    瀚海航城  
                    航空港-航空港区-荆州路,近思存路",87,高铁南站旁 让时间回到5年前  你还会错过吗,3室2厅
89m²,2019年建造,低层(共28层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",80.1,地铁口永丰乐城，首付5万，紫荆山南路 五证齐全随时网签,3室2厅
85m²,2016年建造,低层(共33层),"
                    康桥原溪里2号院  
                    新郑-新郑龙湖-祥安路",73,单价8300买 现房  康桥原溪里 直上实验小学 精装三室,3室2厅
89m²,2020年建造,低层(共33层),"
                    郑州孔雀城  
                    新郑-新郑龙湖-107国道,近郑新快速通道",65,2万订房 ***** 地铁口南龙湖孔雀城全城 接送看房多,3室2厅
111m²,2016年建造,低层(共30层),"
                    龙湖锦艺城  
                    新郑-新郑龙湖-双湖东道2号",105,优 南龙湖锦艺城，新出精装修三房，干净整洁拎包入住，随时看房,3室2厅
125m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",110,新增！！急卖！！前后无遮挡！！康桥九溪郡精装修！！,3室2厅
105m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",91,华南城旁，地铁口，康桥九溪郡，康桥品质！大三房！高品质小区,3室2厅
121m²,2016年建造,低层(共26层),"
                    海龙华城  
                    荥阳-荥阳城区-国泰路,近棋源路",95,豪布斯卡，海龙华城，毛坯3房，可改4房，南北通透,3室2厅
93m²,2020年建造,低层(共34层),"
                    郑西鑫苑名家  
                    荥阳-荥阳城区-郑上路,近广武路",70,南北通透 3室2厅 102平 73万 采光好 周边商圈成熟.,3室2厅
90m²,2015年建造,低层(共32层),"
                    清华大溪地七号院  
                    荥阳-洞林湖-中原路,近商隐路",73,南北通透 精装修 3室1厅 清华大溪地七号院 满二唯一住房,3室1厅
89m²,2015年建造,低层(共30层),"
                    东润玺城  
                    荥阳-荥阳城区-中原西路,近郑州绕城高速",68,绕城高速旁   通透三房    有证急售,3室2厅
107m²,2016年建造,低层(共32层),"
                    泰成悦府(荥阳)  
                    荥阳-荥阳城区-三公路,近郑上路",105,吾悦广场旁，泰成悦府，1楼带院小3室，6小2中学校，业主急售,3室2厅
125m²,2013年建造,低层(共34层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",98,近地铁 满二唯一住房 3室2厅 正商红河谷 电房东急,3室2厅
97m²,2014年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",90,急售丨兴龙湾99平一楼带60平露台40平绿化 可做两个门面,3室2厅
118m²,2020年建造,低层(共30层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",105,（优）永丰乐城 3室2厅2卫 118平  地铁口现房 捡漏房,3室2厅
90m²,2000年建造,低层(共26层),"
                    观澜郡  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",78,观澜郡 3室2厅1卫 90.0平米 78.00万元,3室2厅
104m²,2017年建造,低层(共26层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,康桥溪棠105平 90万 满二唯一住房 3室2厅 送花园 急,3室2厅
104m²,2015年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,康桥溪棠 105平 单价9000包税！两卧朝南，配套成熟！,3室2厅
128m²,2017年建造,低层(共33层),"
                    正商红河谷  
                    新郑-新郑龙湖-107国道",100.9,地铁口正商红河谷 瞰景高层 南北通透边户 业主急售,3室2厅
118m²,2020年建造,低层(共30层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",105,十年房产只为造一城永丰品质巨作 不看你后悔,3室2厅
127m²,2014年建造,低层(共30层),"
                    隆兴御景阁  
                    荥阳-荥阳城区-京城路",81,东区 隆兴御景阁 上8小 送露台 水电地暖已做 均价62xx,3室2厅
89m²,2016年建造,低层(共34层),"
                    金地格林小城  
                    荥阳-荥阳城区-桃贾路,近郑上路",65,65万急售，单价7000。房主诚心卖，户型方正。看房有钥匙。,3室2厅
123m²,2019年建造,低层(共31层),"
                    瀚宇天悦湾  
                    荥阳-荥阳城区-郑上路,近万山路",70,1万网签 超长无息分期 送车位 送物业 双地铁口 品质学校,3室2厅
97m²,2014年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",90,急售丨兴龙湾99平一楼带60平露台40平绿化 可做两个门面,3室2厅
95m²,2019年建造,低层(共26层),"
                    绿地香湖湾  
                    航空港-航空港区-梅河路,近黄海路",64,港区 地标双子塔 绿地香湖湾 7XXX平  楼下地铁口,3室2厅
128m²,2015年建造,低层(共27层),"
                    隆兴御景阁  
                    荥阳-荥阳城区-京城路",85,**房，带露台，配套齐全，位置优越,3室2厅
107m²,2016年建造,低层(共33层),"
                    郑西鑫苑名家  
                    荥阳-荥阳城区-郑上路,近广武路",78,1万定房8万网签，龙港路小学中学，地铁10号线，郑西鑫苑名家,3室2厅
112m²,2014年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",126,南龙湖康桥溪棠，一楼带院，动静分明，品质小区，急售，急售,3室2厅
115m²,2019年建造,低层(共34层),"
                    城南正荣府  
                    新郑-新郑城区-大学南路",86,大学南路城南正荣府，精装交房8000起，经典户型大三房,3室2厅
125m²,2015年建造,低层(共25层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",105,康桥大品牌，环境好物业好，125平业主诚售价位好说,3室2厅
98m²,2019年建造,低层(共27层),"
                    绿都望晴川  
                    荥阳-荥阳城区-中原西路",73,98平 电梯房 73万 3室2厅 楼层好 视野无遮挡,3室2厅
125m²,2018年建造,低层(共29层),"
                    绿地香湖湾  
                    航空港-航空港区-梅河路,近黄海路",95,CBD绿地双塔旁 绿地香湖湾  内部团购房7xxx 名额有限,3室2厅
104m²,2017年建造,低层(共29层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,康桥溪棠，105平三房90万包税。业主诚心出售。定金看房,3室2厅
104m²,2014年建造,低层(共28层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",90,康桥溪棠 南北通透 送30平花园 电梯房 90万 诚心出售,3室2厅
112m²,2015年建造,低层(共28层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",90,精装三房 无人入住 近地铁口 急售诚心卖,3室2厅
90m²,2018年建造,低层(共33层),"
                    瀚海航城  
                    航空港-航空港区-荆州路,近思存路",67,高铁南站 园博园旁湖景高层  不限购,3室2厅
127m²,,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",108,急售康桥品质大三房，近实验小学,3室2厅
129m²,2015年建造,低层(共27层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",105,地铁口 正商大盘 低于市场价10万 均价7 有本诚售,3室2厅
127m²,2016年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",108,九溪郡 直降十万 康桥物业 水景系绿化 地铁800米,3室2厅
200m²,2016年建造,低层(共33层),"
                    奥伦达部落西郡原著  
                    荥阳-荥阳城区-中原西路,近织机路",196,西郡原著 南北通透 200平 196万满二 近地铁万达旁,3室2厅
104m²,2015年建造,低层(共26层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",85,龙湖镇 康桥溪棠 南北通透 电梯房 104平 满五 房东急置,3室2厅
90m²,2013年建造,低层(共32层),"
                    清华大溪地七号院  
                    荥阳-洞林湖-中原路,近商隐路",73,满二唯一住房 3室1厅  拎包入住 73万 诚心出售,3室1厅
129m²,2013年建造,低层(共28层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",109,南龙湖 双湖大道地铁口 正商开发 130平大三房109万包税,3室2厅
105m²,2017年建造,低层(共28层),"
                    悦府海棠  
                    新郑-新郑龙湖-文昌路58号",89,地铁口名校旁 悦府海棠106平南北通透双阳台 有本满二随时看,3室2厅
129m²,2015年建造,低层(共27层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",108,90万！90万买正商瑞钻南北通透大三房，看房有钥匙，有本急售,3室2厅
94m²,2015年建造,低层(共32层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",110,富田兴和湾一楼带院小三房 95平110万急售,3室2厅
117m²,2017年建造,低层(共28层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",100,沙窝李地铁口，紫荆山南路，品质小区永丰乐城，周边设施配套齐全,3室2厅
89m²,2016年建造,低层(共32层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",75.5,（优）沙窝里地铁口 售楼部直 销 南北通透三房 首付五万分期,3室2厅
89m²,2017年建造,低层(共30层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",77,正商智慧城 湿地公园旁 毛坯三房 双气 随时看房 诚心出售,3室2厅
110m²,2014年建造,低层(共34层),"
                    雅居乐天域  
                    新郑-新郑龙湖-郑新快速路,近祥和路",90,高端楼盘 带学校 国内三强 雅居乐天域 通透三房 随时网签,3室2厅
89m²,2017年建造,低层(共28层),"
                    悦府海棠  
                    新郑-新郑龙湖-文昌路58号",72,72万买地铁口悦府海棠三室两厅 业主上店急卖 有本随时看房！,3室2厅
97m²,2014年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",92,南龙湖富田兴龙湾一楼带院,3室2厅
142m²,2018年建造,低层(共26层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",260,三环内万达商圈 改善楼盘 昆仑望岳3室2厅2卫业主急售,3室2厅
97m²,2020年建造,低层(共27层),"
                    郑州恒大城芙蓉园  
                    高新区-科学大道-白桦街32号",125,恒大林溪郡 常西湖外国语学校 精装交房  三面环水 奥体中心,3室2厅
142m²,2019年建造,低层(共25层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",260,三环内，改善住宅 国企开发 万达商圈 出则繁华 入则安静,3室2厅
123m²,2017年建造,低层(共26层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",245,西区改善社区昆仑望岳，低密度，随时看房,3室2厅
89m²,2020年建造,低层(共27层),"
                    华润悦景湾  
                    中原-中原周边-红松路",97,双湖科技城 精装修三房 特价10888起，地铁8号线 可分期,3室2厅
93m²,2015年建造,低层(共28层),"
                    悦府海棠  
                    新郑-新郑龙湖-文昌路58号",70,中间楼层 悦府海棠 毛坯 三室两厅 70万业主急卖 随时看房,3室2厅
127m²,2015年建造,低层(共33层),"
                    富田兴龙湾  
                    新郑-新郑龙湖-郑新路,近泰山路",100,华南城地铁口 外国语小学 富田兴龙湾 精装三房一天未住 急售,3室2厅
114m²,2017年建造,低层(共30层),"
                    康桥原溪里2号院  
                    新郑-新郑龙湖-祥安路",100,上实验小学 朝南带大露台 业主急卖 看房速度了 有密码,3室2厅
110m²,2020年建造,低层(共33层),"
                    雅居乐天域  
                    新郑-新郑龙湖-郑新快速路,近祥和路",85,近地铁，近锦艺城商圈，雅居乐品质教育基地随时看房。看房联系我,3室2厅
89m²,2018年建造,低层(共33层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",69,紫荆山路 龙湖核心 沙窝里地铁口 准现房 龙湖核心 转让出售,3室2厅
111m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",96,康桥品质 96万包税 113平,3室2厅
124m²,2018年建造,低层(共30层),"
                    悦蓝山  
                    荥阳-荥阳城区-荥泽大道,近郑上路",110,荥泽大道  悦蓝山 吾悦广场 东户 精装  學区房,3室2厅
109m²,2015年建造,低层(共34层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",115,康桥九溪郡 临地铁近小学 交通便利  价格合适确定不考虑,3室2厅
110m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",93,华南城旁 康桥品质  地铁口  小三房  实验小学 业主急售,3室2厅
89m²,2017年建造,低层(共30层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",79,紫荆山南路 正商智慧城  刚需小三房  正商外国语中小学,3室2厅
89m²,2016年建造,低层(共30层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",77,正商智慧城 有小学中学 双气社区 紧邻紫荆山南路 业主急卖,3室2厅
88m²,2015年建造,低层(共30层),"
                    九裕龙城  
                    新郑-新郑龙湖-神州路,近天途路",48.4,航空港区 南港现房 毛坯交付 公积金直接网签 求对比,3室2厅
111m²,2012年建造,低层(共27层),"
                    启福中原  
                    中原-汝河路-昆仑路1号",115,地铁6号线，双气精装修，南北通透大三房 111平 115万,3室1厅
109m²,2015年建造,低层(共30层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",85,急卖 急卖 业主急用钱 生意赔了  仅售85万 有钥匙,3室2厅
110m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",92,地铁口，康桥九溪郡，110平，93万 精装修~康桥品质~,3室2厅
105m²,2014年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",88.8,新上特价（临地铁）刚需房，低首付，南北通透三居（降价抛售）,3室2厅
104m²,2017年建造,低层(共30层),"
                    康桥溪棠  
                    新郑-新郑龙湖-祥安路",88,康桥溪棠一楼带院，送装修未住人，105平仅售88万，满二有本,3室2厅
129m²,2014年建造,低层(共27层),"
                    正商瑞钻  
                    新郑-新郑龙湖-文昌路,近双湖大道",98.1,正商瑞钻129平捡漏房源，带独门小院，精装婚房一次未住，甩卖,3室2厅
142m²,2019年建造,低层(共25层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",260,西区改善盘万达旁昆仑望岳有房本 低密度社区 均价低 看房方便,3室2厅
123m²,2018年建造,低层(共25层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",245,三环内 万达旁 昆仑望月 高档社区 品质楼盘 随时看房,3室2厅
89m²,2016年建造,低层(共30层),"
                    正商智慧城博园  
                    新郑-新郑龙湖-正商大道,近郑绕高速",80,3室2厅 南北通透 正商智慧城(二期) 满二 80万 诚心出,3室2厅
123m²,2018年建造,低层(共25层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",245,三环内 万达旁 昆仑望月 高档社区 品质楼盘 随时看房,3室2厅
123m²,2019年建造,低层(共25层),"
                    昆仑望岳  
                    中原-碧沙岗-华山路,近颖河路",225,昆仑望岳 看房方便低密2.48 国企老城纯改善社区纯南大三房,3室2厅
110m²,2015年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",92,地铁口，康桥九溪郡，110平，93万 精装修~康桥品质~,3室2厅
105m²,2014年建造,低层(共33层),"
                    康桥九溪郡  
                    新郑-新郑龙湖-祥安路,近郑新快速通道",88.8,新上特价（临地铁）刚需房，低首付，南北通透三居（降价抛售）,3室2厅
118m²,2020年建造,低层(共30层),"
                    永丰乐城  
                    新郑-新郑龙湖-祥云路,近鸿鹄路",105,优品质楼盘 永丰乐城  3室 南北通透  紫荆山南路,3室2厅
142m²,2015年建造,低层(共26层),"
                    富田九鼎世家  
                    经开-第三大街-经开第五大街88号",247,实验小学 地铁5号线 人车分流 随时腾房 南北通透 看房随时,3室2厅
132m²,2014年建造,低层(共25层),"
                    阳光名仕广场  
                    经开-远大理想城-第二大街",130,急售低首付 三室两卫 满五唯一 二环可落户上学 精装修有电梯,3室2厅
143m²,2002年建造,低层(共25层),"
                    阳光名仕广场  
                    经开-远大理想城-第二大街",121,二大街 地铁口 阳光名仕 两房出售 原价一万一 现在8500,3室2厅
89m²,2018年建造,低层(共27层),"
                    招商天地华府  
                    二七-嵩山路-嵩山南路,近南四环",127,高端住宅，一楼小三房，精装唯一，拎包入住,3室2厅
106m²,2010年建造,低层(共25层),"
                    正商世纪港湾  
                    金水-丰庆路-丰庆路65号",135,丰庆路三全路 双气大三房 地铁4号线 满五唯一 看房方便,3室2厅
93m²,2019年建造,低层(共27层),"
                    康桥香溪里  
                    中牟-中牟城区-广惠街,近滨河路",81,康桥香溪里 贾鲁河旁，衡水中学隔壁，三面环河！93平三室,3室2厅
141m²,2014年建造,低层(共25层),"
                    富田九鼎世家  
                    经开-第三大街-经开第五大街88号",252,急售低于市场价30万，九鼎世家新出大三房，即买即住，诚心出售,3室2厅
142m²,2017年建造,低层(共26层),"
                    建业春天里(中牟)  
                    郑东新区-商都路-万三公路,近平安大道",230,郑东建业春天里 1楼142平带院60平 不影响采光,3室2厅
93m²,2017年建造,低层(共27层),"
                    锦绣山河玉福园  
                    二七-二七周边-丽水街15号",145,南三环嵩山路精装三房  南北通透 送面积送车位,3室2厅
129m²,2016年建造,低层(共27层),"
                    和昌悦澜北苑  
                    金水-花园路-宏康路66号",200,和昌悦澜，精装婚房，满两年，税费低，出行便利，地铁口看房随时,3室2厅
166m²,,低层(共24层),"
                    亚太明珠  
                    经开-远大理想城-朝凤路78号",420,精装修 送同等面积的地下室 临近学校地铁,3室2厅
140m²,2014年建造,低层(共26层),"
                    金林公馆  
                    金水-未来路-福元路,近燕庄一街",266,福元路未来路南北通透大三房 高档小区人车分流 业主诚售仅契税,3室2厅
138m²,2000年建造,低层(共29层),"
                    正商书香华府  
                    郑东新区-龙子湖-行健街6号",258,河南大学正对面，地铁口现房，环境优美看房方便,3室2厅
89m²,2016年建造,低层(共27层),"
                    鑫苑鑫家(1期)  
                    二七-大学南路-大学南路,近南四环",99,大学路地铁口 醉便宜的3房 超低首付 配套成熟,3室2厅
164m²,2012年建造,低层(共28层),"
                    鑫苑现代城  
                    二七-京广路-庆丰街17号",385,陇西小学 鑫苑现代城一层带院精装修三居室出售 康桥华城金域,3室2厅
92m²,2020年建造,低层(共29层),"
                    天伦城  
                    金水-东三街-鸿宝路,近任庄路",138,金水科教园区（天伦城开盘活动）来电立省10万 签约优胜路小学,3室2厅
142m²,2012年建造,低层(共28层),"
                    亚太明珠  
                    经开-远大理想城-朝凤路78号",256,快来抢一楼好房啊！层高5.9米  20平米院子加盖一间！,3室2厅
132m²,2005年建造,低层(共25层),"
                    嵩山南路85号院  
                    二七-河医片-嵩山南路85号",278,可上外国语小学 57中 3室2厅2卫 双气带电梯 临绿城广场,3室2厅
121m²,2018年建造,低层(共26层),"
                    中建滨水苑  
                    航空港-航空港区-滨河西路,近归航路",120,领事馆区域 郑州一中省实验旁 中建滨水苑精装修,3室2厅
89m²,2018年建造,低层(共24层),"
                    鑫苑鑫家(3期)  
                    二七-华中片-大学南路",103,低首付 大学路地铁口 新小区 89三房带装修 降价急售,3室2厅
89m²,2015年建造,低层(共27层),"
                    中海锦苑  
                    金水-中医院-文劳路8号",185,央企开发 容积率2.99 人车分流 不临街 有密码随时看房,3室2厅
133m²,2010年建造,低层(共29层),"
                    方圆创世  
                    管城-南关-陇海路66号",228,满五唯一住房 电梯房 方圆创世 一口价228万 诚心出售,3室2厅
106m²,2019年建造,低层(共26层),"
                    金科天籁城  
                    中牟-中牟城区-郑开大道,近人文路",113.4,绿博小户型看金科天籁城，户型方正南北通透仅1套，配套规划高端,3室2厅
143m²,2018年建造,低层(共26层),"
                    锦润年华  
                    中牟-白沙镇-通惠路295号",115,急卖！郑东新区 锦润年华 143平115万诚心出售 价格可议,3室2厅
89m²,2017年建造,低层(共27层),"
                    鑫苑鑫家(3期)  
                    二七-华中片-大学南路",100,新装没住过人 100万没税 随时可以看房 89刚需三室,3室2厅
143m²,2015年建造,低层(共26层),"
                    中联创橄榄城五号院  
                    二七-连云路-连云路128号",185,橄榄城伍号院，首付30万，送全部家电，业主急售随时看房！,3室2厅
164m²,2016年建造,低层(共26层),"
                    东润泰和  
                    金水-中医院-文劳路,近信息学院路",630,抚今追昔 巍然前行！东润一楼带80平院子 带下沉大六房 急售,3室2厅
147m²,2011年建造,低层(共26层),"
                    丰庆华府  
                    金水-绿荫广场-丰庆路13号",230,山河远阔  人间烟火！ 简装大三房  业主急售 ，价位可降！,3室2厅
